estimator,mae,mape,mse,rsme,std,nValid
Bootstrap,8378.955372544504,0.49364582913935845,211723269.4012886,14550.713707625773,13031.486926649446,6
ICE_k0,95.85722857680048,0.007654616266074718,9188.608270424975,95.85722857680048,,1
Chao,7367.96775,0.2421260632994084,167157989.61569875,12928.959340012589,12267.628993991122,4
ICE,6811.845750000001,0.21292122175324824,150299759.66860127,12259.68024332614,11769.934417648397,4
ICE-1,5336.783333333334,0.15695488175835356,70346753.197628,8387.297133023725,7924.534388595039,3
iChao,6482.807250000001,0.19471137709920167,135938069.7896388,11659.248251479972,11189.952633142895,4
Chao_Bunge,477.8599999999997,0.042929326855407846,237747.5431999996,487.59362506086933,137.09386273644728,2
Jackknife,17847.120000000003,0.380161768427295,318519692.2944001,17847.120000000003,,1
PCG,,,,,,0
Pnpmle,711.1200000000026,0.015147577691191573,505691.6544000037,711.1200000000026,,1
Unpmle,,,,,,0
Zelterman,8810.846633066658,0.25431972065279657,188472247.97383037,13728.51951136139,12894.256255155335,3
