estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;4983.27160940075;4718.202578966;5248.3406398355;4561;3579;2196;693;264
chao2;7045.19716646989;6663.32215385587;7474.35275419397;4561;3579;2196;693;264
chao2_corrected;7038.62650641865;6452.29302000188;7744.60910446464;4561;3579;2196;693;264
chao_lower;7058.37662337662;4067.39799947025;28366.2876228625;4561;3579;2196;693;264
chao_upperbound;0.0;4492.88853738182;4560.50239153911;4561;3579;2196;693;264
ice;14308.8483282658;11568.3295791494;17049.3670773823;4561;3579;2196;693;264
jack_our;9563.40909991261;8795.21776125845;10331.6004385668;4561;3579;2196;693;264
species_chaobunge;-25020.0;-10219.0;-55817.0;4561;3579;2196;693;264
species_jackknife;9591.0;8807.0;10375.0;4561;3579;2196;693;264
species_pcg;12491.0;7926.0;15071.0;4561;3579;2196;693;264
species_pnpmle;11830.0;10468.0;14305.0;4561;3579;2196;693;264
species_unpmle;8507.0;7498.0;11556889.0;4561;3579;2196;693;264
zelterman;7647.12512064764;7144.24995129881;8150.00028999648;4561;3579;2196;693;264
